column,l2,count,l3,property_type
l2,Capital Federal,249738,,
l2,Buenos Aires Costa Atlántica,178712,,
l2,Bs.As. G.B.A. Zona Norte,127510,,
l2,Bs.As. G.B.A. Zona Sur,112975,,
l2,Santa Fe,93111,,
l2,Bs.As. G.B.A. Zona Oeste,73172,,
l2,Córdoba,60877,,
l2,Buenos Aires Interior,22280,,
l2,Mendoza,11558,,
l2,Neuquén,10642,,
l2,Maldonado,10101,,
l2,Montevideo,6318,,
l2,Río Negro,5507,,
l2,Tucumán,5425,,
l2,Entre Ríos,5113,,
l2,Misiones,4981,,
l2,Salta,3085,,
l2,San Luis,2101,,
l2,Chaco,1145,,
l2,Corrientes,1052,,
l3,,158074,Mar del Plata,
l3,,69559,Rosario,
l3,,57455,,
l3,,40334,Tigre,
l3,,35626,Palermo,
l3,,34816,La Plata,
l3,,25685,Córdoba,
l3,,22664,Lomas de Zamora,
l3,,18898,Pilar,
l3,,17713,Belgrano,
l3,,16585,Morón,
l3,,15438,La Matanza,
l3,,15015,Villa Crespo,
l3,,14753,San Isidro,
l3,,14439,Almagro,
l3,,13937,Recoleta,
l3,,13486,Escobar,
l3,,13408,Ituzaingó,
l3,,13021,Quilmes,
l3,,12779,Caballito,
property_type,,375203,,Departamento
property_type,,239725,,Otro
property_type,,179720,,Casa
property_type,,80772,,Lote
property_type,,35868,,PH
property_type,,35638,,Local comercial
property_type,,26616,,Oficina
property_type,,9464,,Cochera
property_type,,7499,,Depósito
property_type,,1687,,Casa de campo
